EZABPQM,Mnémo,Territoire,Date_Attribution
0105,FRTE,Ile de France,01/01/2017
01241,FRTE,Ile de France,01/01/2017
01242,FRTE,Ile de France,01/01/2017
013000,FRTE,Ile de France,01/01/2017
013001,FRTE,Ile de France,01/01/2017
013002,FRTE,ZNE Guyancourt,01/01/2017
013003,FRTE,ZNE Guyancourt,01/01/2017
013004,FRTE,ZNE Les Mureaux,01/01/2017
013005,FRTE,ZNE Guyancourt,01/01/2017
013006,FRTE,ZNE Poissy,01/01/2017
013007,FRTE,ZNE Guyancourt,01/01/2017
013008,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013009,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013010,FRTE,ZNE Enghien-les-Bains,01/01/2017
013011,FRTE,ZNE Sarcelles,01/01/2017
013012,FRTE,ZNE Guyancourt,01/01/2017
013013,FRTE,ZNE Guyancourt,01/01/2017
013014,FRTE,ZNE Guyancourt,01/01/2017
013015,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013016,FRTE,ZNE Guyancourt,01/01/2017
013017,FRTE,ZNE Cergy,01/01/2017
013018,FRTE,ZNE Sarcelles,01/01/2017
013019,FRTE,ZNE Poissy,01/01/2017
013020,FRTE,ZNE Cergy,01/01/2017
013021,FRTE,ZNE Versailles,01/01/2017
013022,FRTE,ZNE Les Mureaux,01/01/2017
013023,FRTE,ZNE Guyancourt,01/01/2017
013024,FRTE,ZNE Versailles,01/01/2017
013025,FRTE,ZNE Enghien-les-Bains,01/01/2017
013026,FRTE,ZNE Enghien-les-Bains,01/01/2017
013027,FRTE,ZNE Cergy,01/01/2017
013028,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013029,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013030,FRTE,ZNE Cergy,01/01/2017
013031,FRTE,ZNE Cergy,01/01/2017
013032,FRTE,ZNE Cergy,01/01/2017
013033,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013034,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013035,FRTE,ZNE Beaumont-sur-Oise,01/01/2017
013036,FRTE,ZNE Cergy,01/01/2017
013037,FRTE,ZNE Cergy,01/01/2017
013038,FRTE,ZNE Cergy,01/01/2017
013039,FRTE,ZNE Cergy,01/01/2017
013040,FRTE,ZNE Enghien-les-Bains,01/01/2017
013041,FRTE,ZNE Rambouillet,01/01/2017
013042,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013043,FRTE,ZNE Guyancourt,01/01/2017
013044,FRTE,ZNE Guyancourt,01/01/2017
013045,FRTE,ZNE Guyancourt,01/01/2017
013046,FRTE,ZNE Rambouillet,01/01/2017
013047,FRTE,ZNE Guyancourt,01/01/2017
013048,FRTE,ZNE Guyancourt,01/01/2017
013049,FRTE,ZNE Guyancourt,01/01/2017
013050,FRTE,ZNE Guyancourt,01/01/2017
013051,FRTE,ZNE Guyancourt,01/01/2017
013052,FRTE,ZNE Guyancourt,01/01/2017
013053,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013054,FRTE,ZNE Guyancourt,01/01/2017
013055,FRTE,ZNE Guyancourt,01/01/2017
013056,FRTE,ZNE Guyancourt,01/01/2017
013057,FRTE,ZNE Guyancourt,01/01/2017
013058,FRTE,ZNE Guyancourt,01/01/2017
013059,FRTE,ZNE Rambouillet,01/01/2017
013060,FRTE,ZNE Guyancourt,01/01/2017
013061,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013062,FRTE,ZNE Guyancourt,01/01/2017
013063,FRTE,ZNE Mantes-la-Jolie,01/01/2017
013064,FRTE,ZNE Guyancourt,01/01/2017
013065,FRTE,ZNE Poissy,01/01/2017
013066,FRTE,ZNE Guyancourt,01/01/2017
013067,FRTE,ZNE Versailles,01/01/2017
013068,FRTE,ZNE Guyancourt,01/01/2017
013069,FRTE,ZNE Guyancourt,01/01/2017
013070,FRTE,ZNE Versailles,01/01/2017
013071,FRTE,ZNE Saint-Germain-en-Laye,01/01/2017
013072,FRTE,ZNE Enghien-les-Bains,01/01/2017
013073,FRTE,ZNE Cergy,01/01/2017
