CODE_OPERATEUR,IDENTITE_OPERATEUR
CTIO,@ction telecom
AFER,@FER Conseil
2COM,+2 COM
ACOL,1.0 ACOLA
TLGT,118000
LNUM,118218 Le numéro
11FR,118500.fr
123D,123 domotique
123U,123 Multimedia
17N,17-Numerique
19131,1913 
1NCE,1NCE GmbH
2FIM,2 F IMAGE
2SIS,2 SI systemes
21NE,21NET LTD
2CIO,2C communication
2CCO,2ccom
2RSS,2RS-Solutions
2SRE,2SREI
3CNE,3 C NET
31TE,31 TELECOM
3ROA,3Roam
3TIC,3TIC
4OFF,4 office
440H,440HZ
47FI,47 fibre
4CLL,4call
4CNN,4connect
512T,512IT
6COM,6 COM
6TEK,6Tek
7724,7 7 24 24
QUEB,9341-2419 Québec inc
AARR,A.Arrow
ABNS,A.B solutions
ACRT,A.C.R.T.
AILN,A.I.L.network du pays d'Autan
AJPH,A.J. Phone
AMPR,A.M. Paris
AMIA,A.M.I Audit management intégration
A2BL,A2BL SAS
A2CN,A2C NET PRO
A2CM,A2COM
A2IP,A2IP telecom
A2KI,A2K informatique
A2LT,A2LTI
A4PL,A4plus
A5NU,A5 Numérique
A6TE,A6telecom France
A75N,A75 NETWORKS
AABA,Aabas interactive
AAMT,AAMT
ABPL,AB plus
ABAL,ABALONE
ABCM,ABC com
ABCT,ABC Telecoms
ABCD,ABCDev
AHOU,ABDEL HALIM OUARTI
ABEI,ABEILLE
ABER,ABERIA TELECOMMUNICATIONS
ABIC,Abicom
ABGX,Ablogix
ABOU,About network
ABRA,ABR
R003,ABS CONCEPT
ABSI,ABSIVAL
ABSO,ABSOLIGHT
ABSY,Absystech telecom
ABTE,ABTEL SARL
ABYS,Abysse
ACIL,AC Conseil
ACTG,AC Télémarketing
ACGS,Access Global Security
ACCH,ACCESS HEBERGEMENT
ACOP,Access'operateur
ACRS,Accompagnement réseau service informatique telecom 
ACIM,Ace immovation
ACES,Acesi net
ACE,ACETELECOM
ACHA,Achats conseil
ACIP,Acipia
ACOU,Acipia Ouest
ACNC,ACN COMMUNICATIONS FRANCE
ACTO,Acor telecoms Ouest
ACRI,Acrib
ACTS,Act service
ACTE,ACTEA TELECOM
APSE,ACTI PHONE SERVICE
AIFT,Actif telecom
ACCO,ACTIMAGE CONSULTING SAS
ACTR,ACTISTREAM
ACVA,Activatel
ACBD,Active business developpement 
ACSO,ACTIVE PLUS SOFTWARE
AIDC,Activium information design
ACLI,Activ-Line SAS
ACOR,Actualis informatique
ACBU,Actuel buro
ATUM,Actum
R005,ADAEL
ADAX,Adaxia
ADON,Add-on consulting
ADDO,Add-on multimedia
ADEA,Adealis
R006,Adeli
ADIS,Adenis
ATGP,Adept Technology Group
ADEQ,Adequatic
ADEX,Adexgroup
ADII,ADI INFORMATIQUE
ADIO,Adion telecom and services
ADIP,ADIPSYS
RMII,Adista
ADLE,ADLER TECHNOLOGIES
ADNE,Adls nexcom
ADMI,ADMI Agence de maintenance informatique
AGSI,ADMINISTRATION ET GESTION DES SYSTEMES D'INFORMATION
ACAD,"Administration, Cloud, Assistance, et Déploiement d'Infrastructures Réseaux"
ADNS,Adn systemes
ADOU,Adour bureau
ADAT,Adquat
ADSS,ADS
ADTI,ADTIM
ADTH,Adtim FTTH
ADCT,ADVANCED CARIBBEAN TECHNOLOGIES
ADWN,ADVANCED DATA WIRELESS NETWORK
AINS,ADVANCED INTEGRATED NETWORK SYSTEMS
A2ST,Advanced system solutions
ADVE,ADVENCEO
ADLI,Adverline
AERA,Aera telecom
AERL,Aerlink
AETI,Aetia informatique
AFTE,AF telecoms
AFNS,Affiliate network solution
AFIN,Afone Infrastructure
AFON,Afone participations
AFEC,Afritelec
AGAR,AGARIK SA
AGCE,Agence d'électronique
AIDL,Agence d'investissement et de développement logiciel
MPIC,Agence premium
AGUN,Agence Unicom
AG22,Agence22
DIZE,Agendize
ALRT,Agglo La Rochelle THD
AGIL,AGILITAS IT
AGOR,Agoratel
AICT,AIC Telecoms
AAFP,Aide a domicile - AAFP/CSF
AIDO,AID'O PC HOME & PRO
AILA,AILAIR
AMIE,AIN MATERIELS INFORMATIQUES & ELECTRONIQUES
ASSA,Airbus defence and space SAS
AIRC,Aircall
AIRM,Airmob
AMCS,Airmont mobile communication services
AIRX,Airx technologies Limited
AISN,Aisne THD
AITA,Ait
AJTE,AJ telecom
AKAM,Akamaï Technologies
AKIN,Akinea internet
AKIO,Akio
AKSY,Aksys network
AL66,AL66
ALCO,Alambic.com
ALAM,Alamys
ALAT,Alate 
ALBA,ALBA PHONE
ASYS,Albi technologie systèmes
ALBI,ALBIANT-IT
